"SKU","Price","Quantity","Product_ID","Product-ID-Type","Condition-Type","Condition-Note"
"1017531","59.99","12","B08GZBNMHW","ASIN","new","new"
"1019313","89.99","22","B088HCFHBS","ASIN","new","new"
"1019402","309.99","23","B08KQHLL9R","ASIN","new","new"
"1019550","1379.99","14","B088HD4DTS","ASIN","new","new"
"1019917","34.99","34","B083FY5MSS","ASIN","new","new"
"1019992","169.99","50","B08KQJ8MHL","ASIN","new","new"
"1020661","79.989999999999995","22","B087YYMNL6","ASIN","new","new"
"1021174","24.99","29","B08MTYB1YD","ASIN","new","new"
"1021180","1269.99","13","B08KQHGTY4","ASIN","new","new"
"1021181","1269.99","21","B08KQHP6ZK","ASIN","new","new"
"1021636","139.99","14","B088HCFP17","ASIN","new","new"
"1021637","139.99","59","B08MTYV2Z8","ASIN","new","new"
"1022286","29.99","99","B08GZDCQR3","ASIN","new","new"
"1022287","59.99","14","B08GZCZ7VB","ASIN","new","new"
"1023117","84.99","21","B088HDTR5N","ASIN","new","new"
"1023281","29.99","99","B088HCTQDR","ASIN","new","new"
"1023357","1269.99","11","B08MV1CQJ8","ASIN","new","new"
"1023756","29.99","58","B08MTZSFM4","ASIN","new","new"
"1024092","794.99","52","B08MSHBTYP","ASIN","new","new"
"1024105","44.99","99","B08MTZSGM6","ASIN","new","new"
"1024638","39.99","67","B08MTXFWM1","ASIN","new","new"
"1024782","754.99","20","B08MTZ4CD9","ASIN","new","new"
"1024823","29.99","15","B08RJWF2QP","ASIN","new","new"
"1025244","24.99","32","B08MV1211L","ASIN","new","new"
"1204652","209.99","16","B08MV1FDCY","ASIN","new","new"
"1204685","509.99","48","B08NY6GVJY","ASIN","new","new"
"1204755","114.99","99","B08MV2CSYZ","ASIN","new","new"
"1204839","244.99","25","B083FY79H7","ASIN","new","new"
"1204919","109.99","54","B088HDMP8K","ASIN","new","new"
"1204955","179.99","20","B079KJW3H9","ASIN","new","new"
"1204964","64.989999999999995","20","B083M5S1KY","ASIN","new","new"
"1204987","59.99","99","B088HBXWZF","ASIN","new","new"
"1205045","404.99","45","B08MTXH3SX","ASIN","new","new"
"1205160","169.99","41","B083XD1V1L","ASIN","new","new"
"1205211","179.99","78","B08MTZG9H7","ASIN","new","new"
"1205239","454.99","30","B08MTXDBHH","ASIN","new","new"
"1205240","59.99","52","B08MV1TLLB","ASIN","new","new"
"1205295","114.99","22","B08MTYQVPJ","ASIN","new","new"
"1205315","189.99","23","B08GYV8T5J","ASIN","new","new"
"1205436","89.99","14","B08MTZF34S","ASIN","new","new"
"1205447","424.99","14","B08MTXBB4T","ASIN","new","new"
"1205470","154.99","17","B08MTXDBHG","ASIN","new","new"
"1205702","54.99","33","B08MV2H38N","ASIN","new","new"
"1205711","774.99","48","B08MTZ15TC","ASIN","new","new"
"1205754","54.99","99","B08MTZHVLK","ASIN","new","new"
"1205796","679.99","36","B08MTYP286","ASIN","new","new"
"1205798","104.99","75","B08MTXDYJW","ASIN","new","new"
"1205926","179.99","71","B08MTZ27VQ","ASIN","new","new"
"1205933","209.99","39","B08MTZB7TK","ASIN","new","new"
"1205980","124.99","34","B08MTXGGDN","ASIN","new","new"
"1205998","44.99","99","B08MTYGP8Y","ASIN","new","new"
"1205999","479.99","11","B08MTZ3479","ASIN","new","new"
"1206000","479.99","11","B08MTZ3PGF","ASIN","new","new"
"1206089","244.99","22","B08MTXCQQL","ASIN","new","new"
"1206090","424.99","23","B08MV1K9F8","ASIN","new","new"
"1206091","424.99","22","B08MTZBLH8","ASIN","new","new"
"1206109","3974.99","16","B08MV22HQP","ASIN","new","new"
"1240964","529.99","19","B08MTZL1HZ","ASIN","new","new"
"1241274","64.989999999999995","61","B08MV1YKV5","ASIN","new","new"
"1241277","209.99","57","B08MTYQBSF","ASIN","new","new"
"1262777","24.99","23","B08MTZPJ16","ASIN","new","new"
"1263216","74.989999999999995","99","B08MTYWWHJ","ASIN","new","new"
"1263248","54.99","48","B08MTYSJ2R","ASIN","new","new"
"1263295","109.99","93","B08MTYBCZR","ASIN","new","new"
"1263296","109.99","99","B08MV1K6Z4","ASIN","new","new"
"1263304","474.99","99","B088HF2SMW","ASIN","new","new"
"1263368","474.99","44","B08MTZ8MY8","ASIN","new","new"
"1263371","34.99","54","B08MV2ZHY1","ASIN","new","new"
"1263372","39.99","15","B08MTY8FSP","ASIN","new","new"
"1263395","1039.99","36","B08QCR6K8C","ASIN","new","new"
"1263396","1039.99","40","B08MTXBKY8","ASIN","new","new"
"1263398","529.99","64","B08MTXQWJ6","ASIN","new","new"
"1263408","1164.99","99","B08Q1P64QC","ASIN","new","new"
"1263418","934.99","15","B08MTXD77B","ASIN","new","new"
"1263435","1219.99","32","B08MV15XHQ","ASIN","new","new"
"1263536","109.99","16","B08MV1659V","ASIN","new","new"
"1323372","34.99","99","B08MTXD62R","ASIN","new","new"
"1323373","34.99","66","B08MTYQ4Y8","ASIN","new","new"
"1323512","34.99","33","B08MTYTSK8","ASIN","new","new"
"1333025","189.99","29","B08MTYZNPZ","ASIN","new","new"
"1333060","1269.99","86","B08MTWTNM8","ASIN","new","new"
"1333061","739.99","14","B08MTZHVLH","ASIN","new","new"
"1333137","89.99","26","B083FY9SKY","ASIN","new","new"
"1333410","109.99","32","B08MTZ8RSX","ASIN","new","new"
"1333437","1269.99","23","B08MV1FTSM","ASIN","new","new"
"1333438","774.99","26","B08MV354FH","ASIN","new","new"
"1333461","59.99","68","B08MTZ1FZK","ASIN","new","new"
"1333532","244.99","15","B08GZD3CVL","ASIN","new","new"
"1333633","774.99","44","B08MTZR4NS","ASIN","new","new"
"1333634","1169.99","44","B08MV1S624","ASIN","new","new"
"1333969","589.99","36","B08MTZGXHT","ASIN","new","new"
"1333970","774.99","28","B08MTZ8P5N","ASIN","new","new"
"1334011","689.99","29","B08MTZYQVY","ASIN","new","new"
"1334031","189.99","33","B08MV1VY9G","ASIN","new","new"
"1334409","739.99","22","B08VD1NSG8","ASIN","new","new"
"1334548","1269.99","58","B08MTZG17T","ASIN","new","new"
"1500969","109.99","25","B08MTZL15L","ASIN","new","new"
"1500970","44.99","33","B08MTZ6YDH","ASIN","new","new"
"1500971","64.989999999999995","34","B08MTZDKG5","ASIN","new","new"
"1500973","34.99","28","B08MTZ578K","ASIN","new","new"
"1500974","149.99","54","B08MTZL3KB","ASIN","new","new"
"1500977","89.99","12","B08MVCKP19","ASIN","new","new"
"1500992","104.99","43","B08MTZGPYS","ASIN","new","new"
"1501217","109.99","11","B08MV2CJG9","ASIN","new","new"
